Planifikuar,Buxheti,Numri prokurimit,Lloji i prokurimit,Vlera e prokurimit,Procedura e prokutimiy,Klasifikimi(2 shifrat e para te FPP),Titulli i aktivitetit te prokurimit,Data e inicimit të aktivitetit të prokurimit (data e pranimit të kërkesës),Data e aprovimit të deklaratës së nevojave dhe disponueshmërisë së mjeteve,Data e pranimit të specifikimit teknik (TOR),Data e publikimit të njoftimit për kontratë,Ankesat në autoritet,Ankesat në OSHP,Data e hapjes së ofertave,Nr. i OE që kanë shkarkuar dosjen e tenderit,Nr. i OE që kanë dorëzuar ofertat,Data e fillimit dhe përfundimit të vlersimit,Numri i ofertave të refuzuara,Data e aprovimit të Deklaratës së nevojave dhe disponueshmërisë së mjeteve - rikonfirmimi,Data e publikimit të njoftimit për dhënie të kontratës,Data e publikimit të anulimit të njoftimit,Letrat Standarde për OE,Ankesat në autoritet,Ankesat në OSHP,Vlera e parashikuar e kontratës,OE,Afati kohor për pranimin e tenderëve,Kriteret për dhënie të kontratës,Re-tenderimi,Statusi,Emri i OE të cilit i është dhënë kontrata,Data e nënshkrimit të kontratës,Afati për implementimin e kontratës,Data e mbylljes së kontratës,"Vlera totale e kontratës, duke përfshirë të gjitha taksat","Numri i përgjithshëm i situacioneve për pagesë, sipas kontratës",Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(1),Data e nënshkrimit të Aneks kontratës(1),Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(2),Data e nënshkrimit të Aneks kontratës(2),Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(3),Data e nënshkrimit të Aneks kontratës(3),Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(4),Data e nënshkrimit të Aneks kontratës(4),Data e pagesës së situacionit(1),Shuma e pagesës së situacionit(1),Data e pagesës së situacionit(2),Shuma e pagesës së situacionit(2),Data e pagesës së situacionit(3),Shuma e pagesës së situacionit(3),Data e pagesës së situacionit(4),Shuma e pagesës së situacionit(4),Shuma e zbritjes nga kontrata për shkaqe të ndalesave,Data e pagesës së situacionit të fundit,Shuma e pagesës së situacionit të fundit,Çmimi total i paguar për kontratën,Drejtoria,Emri i zyrtarit të prokurimit
,1,111,1,1,1,45,Mirëmbajtja e semaforëve ,19.07.17,15.08.17,12.09.17,20.09.17,n/a,n/a,30.10.17,3,3,36 muaj,0,06.12.17,14.12.17,,18.12.17,0,0,"150,000.00",1,1,1,jo,4,Ekoinvest,09.01.18,36 Muaj,,"149,961.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shqipe Isufi
,,116,5,2,1,45,"Ndërtimi i mureve rezistuese ndaj rrëshqitjes së dheut, vërshimeve ",30.11.17,12.06.17,30.11.17,01.12.17,n/a,n/a,27.12.17,75,11,22.01.18,3,18.01.18,24.01.18,,25.01.18,0,0,"50,000.00",1,1,1,jo,4,Lindi,06.02.18,90 Ditë,,"39,990.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Verona Sekiraqa
1,1,120,5,2,1,45,Rregullimi dhe rrethimi i varrezave të Komunës së Prishtinës ,01.08.17,08.08.17,01.08.17,02.10.17,n/a,n/a,23.10.17,40,8,01.03.18,4,01.12.17,04.12.17,,04.12.17,0,0,"100,000.00",1,1,1,jo,4,Bashkimi,11.01.18,90 Ditë,,"77,634.30",,,,,,,,,,05.06.18,40634.92,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Nexhmi Mekolli
1,1,122,5,2,1,45,"Pastrimi i shtratit të lumenjëve, portave hyrëse në kolektor, kanalit atmosferik dhe zëvendësimi i",25.09.17,25.07.17,24.07.17,28.09.17,1,1,18.10.17,,5,08.11.17,4,12.12.17,17.11.17,,14.11.17,0,0,"100,000.00",1,1,1,jo,4,LINDI,23.01.18,12 Muaj,,"69,754.60",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Flamur Sallahu
,,129,1,1,1,36,Furnizimi me qumësht për nxënësit e shkollave - neveli i ulët nga klasa e parë deri në të pestën,26.09.17,02.10.17,26.09.17,05.10.17,n/a,n/a,17.11.17,10,1,31.01.18,0,20.12.17,28.12.17,,28.12.17,0,0,"730,000.00",1,1,1,jo,4,Abrazen ,11.01.18,12 Muaj,31.01.19,"733,698.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Nexhmi Mekolli
,,132,5,2,1,45,"Rindërtimi, sanimi dhe zgjerimi i disa rrugëve sekondare në territorin e Komunës së Prishtinës",09.10.17,27.09.17,09.10.17,12.10.17,n/a,n/a,06.11.17,41,6,14.12.17,1,18.12.17,15.12.17,,19.12.17,0,0,"476,515.04",1,1,1,jo,4,Bashkimi&bageri,11.01.18,12 Muaj,14.12.18,"247,853.52",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Verona Sekiraqa
1,1,134,5,2,1,45,Ndërtimi i rrugës Rimanishtë - Siqevë ,12.09.17,15.09.17,12.09.17,16.10.17,n/a,n/a,03.11.17,37,8,12.12.17,1,18.12.17,26.12.17,,26.12.17,0,0,"271,376.11",1,1,1,jo,4,Nente vllezerit ,16.01.18,90 Ditë,,"167,748.21",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Nexhmi Mekolli
1,1,137,5,2,1,45," Sanimi i kanalizimeve fekale primare dhe sekondare, në territorin e Komunës së Prishtinës",09.08.17,15.09.17,17.10.18,18.10.18,n/a,n/a,14.11.17,31,3,12 muaj,1,12.12.17,13.12.17,,17.12.18,n/a,n/a,"43,072.00",1,1,1,jo,4,EUROFAMIS SH.A.,28.12.18,12 Muaj,,"38,015.00",,,,,,,,,,23.03.18,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Albina Bajrami
1,1,138,5,1,1,45,Ndërtimi i rrugëve në lagjen Myrtaj Bekaj Bahtirovit dhe Nezirovit në fshatin Busi si dhe Ndërtimi i rrugës dhe trotuareve në fshatin Drenovc LLOT I,18.10.17,27.09.17,24.10.17,27.10.17,n/a,n/a,15.12.17,60,10,90 dite,2,05.02.18,31.01.18,,09.02.18,0,0,"499,930.49",1,1,1,jo,4,Papengburg Adriani,22.02.18,90 Ditë,,"347,880.30",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Kaltrina Dalipi
1,1,138,5,1,1,45,Ndërtimi i rrugëve në lagjen Myrtaj Bekaj Bahtirovit dhe Nezirovit në fshatin Busi si dhe Ndërtimi i rrugës dhe trotuareve në fshatin Drenovc LLOT II,18.10.17,27.09.17,24.10.17,27.10.17,n/a,n/a,15.12.17,60,7,90 dite,2,05.02.18,31.01.18,,09.02.18,0,0,"493,149.77",1,1,1,jo,4,Erdi group&Elbau,22.02.18,90 Ditë,,"367,972.12",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Kaltrina Dalipi
1,1,139,5,1,1,45,Revitalizimi i shkallëve dhe ndërtimi i mbikalimit në lagjen Arbëria,08.09.17,18.01.17,24.10.17,30.10.17,n/a,n/a,15.12.17,99,14,120 dite,4,18.01.18,19.01.18,,22.01.18,0,0,"653,071.76",1,1,1,jo,4,NBT -ING SH.P.K.,05.02.18,120 Ditë,,"463,261.41",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Albina Bajrami
,,140,1,2,1,,Furnizim me qizme për punëtorët e Brigadës së zjarrëfiksave,08.11.17,02.11.17,02.11.17,09.11.17,n/a,n/a,27.11.17,8,1,26.12.17,0,27.12.17,04.01.18,,,0,0,"2,000.00",1,1,1,jo,4,Postor Kosova,16.01.18,20 Ditë,,"2,179.50",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Verona Sekiraqa
1,1,141,5,2,1,45,Sanimi dhe asfaltimi i rrugës Fehmi Lladrovci,18.10.17,03.11.17,24.10.17,09.11.17,n/a,n/a,11.12.17,21,3,30 dite,0,26.12.17,28.12.18,,03.01.18,0,0,"67,545.90",1,1,1,jo,4,Papenburg Adriani Company,16.01.18,30 Ditë,,"59,480.30",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Shqipe Isufi
1,1,142,5,2,1,45,Ndërtimi i disa rrugëve në fshatin Trudë,22.11.17,03.11.17,18.11.17,22.11.17,n/a,n/a,22.12.17,60,18,120 dite,4,05.02.18,31.01.18,,09.02.18,0,0,"499,794.05",1,1,1,jo,4,Pro Co Group,27.02.18,120 Ditë,,"375,501.30",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Kaltrina Dalipi
,,143,1,2,1,,"Furnizimi me makineri, paisje për kamion dhe bartjen e makinerisëe së BPZ-së",29.11.17,19.09.17,19.09.17,01.12.17,n/a,n/a,14.12.17,6,1,29.12.17,0,17.01.17,22.01.17,,,0,0,"9,999.00",1,1,1,jo,4,Velezerit Bajraktari,29.01.18,30 Ditë,,"7,000.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Verona Sekiraqa
1,1,145,5,2,1,45,"Instalimi i ngrohjes qendrore në SHFMU Avni Rrustemi, G. Terbeshi dhe Ditët e Minatorit",26.09.17,02.10.17,26.09.17,04.12.17,n/a,n/a,26.12.17,24,7,07.03.18,2,12.01.18,12.01.18,,16.01.18,0,0,"60,000.00",1,1,1,jo,4,Termovision,12.02.18,30 Ditë,,"42,658.65",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Nexhmi Mekolli
,,147,2,2,1,,Transporti i nxënësve dhe arsimtarëve III-Loto 1- Përroi I njelmët -Shkollë dhe anasjelltas,13.12.17,12.12.17,12.12.17,15.12.17,n/a,n/a,11.01.18,12,2,22.01.18,0,09.02.18,12.02.18,,16.02.18,0,0,"9,000.00",1,1,1,jo,4,Xhavit Osmani,22.02.18,12 Muaj,,"10,788.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Verona Sekiraqa
,,147,2,2,1,,Transporti i nxënësve dhe arsimtarëve III-Loto 2- Lagja Sinidoll-Shkollë dhe anasjelltas,13.12.17,12.12.17,12.12.17,15.12.17,n/a,n/a,11.01.18,12,1,22.01.18,1,09.02.18,12.02.18,,15.02.18,0,0,"6,700.00",1,1,1,jo,4,Xhavit Osmani,22.02.18,12 Muaj,,"6,138.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Verona Sekiraqa
,,147,2,2,1,,Transporti i nxënësve dhe arsimtarëve III-Loto 3-Lagja Qesollaj-Keqekollë(Shkollë) ,13.12.17,12.12.17,12.12.17,15.12.17,n/a,n/a,11.01.18,12,1,22.01.18,2,09.02.18,12.02.18,,15.02.18,0,0,"7,700.00",1,1,1,jo,4,Agron Osmani,22.02.18,12 Muaj,,"9,114.00",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Verona Sekiraqa
,,147,2,2,1,,Transporti i nxënësve dhe arsimtarëve III-Loto 4-Lagja Stullqaj -Halitaj -Mramor Shkolla amë dhe anasjelltas,13.12.17,12.12.17,12.12.17,15.12.17,n/a,n/a,11.01.18,12,1,22.01.18,3,09.02.18,12.02.18,,15.02.18,0,0,"7,900.00",1,1,1,jo,4,Tempo trans,22.02.18,12 Muaj,,"3,701.40",,,,,,,,,,,,,,,,,,,,,NaN,Drejtoria e Arsimit,Verona Sekiraqa
