Planifikuar,Buxheti,Numri prokurimit,Lloji i prokurimit,Vlera e prokurimit,Procedura e prokutimiy,Klasifikimi(2 shifrat e para te FPP),Titulli i aktivitetit te prokurimit,Data e inicimit të aktivitetit të prokurimit (data e pranimit të kërkesës),Data e aprovimit të deklaratës së nevojave dhe disponueshmërisë së mjeteve,Data e pranimit të specifikimit teknik (TOR),Data e publikimit të njoftimit për kontratë,Ankesat në autoritet,Ankesat në OSHP,Data e hapjes së ofertave,Nr. i OE që kanë shkarkuar dosjen e tenderit,Nr. i OE që kanë dorëzuar ofertat,Data e fillimit dhe përfundimit të vlersimit,Numri i ofertave të refuzuara,Data e aprovimit të Deklaratës së nevojave dhe disponueshmërisë së mjeteve - rikonfirmimi,Data e publikimit të njoftimit për dhënie të kontratës,Data e publikimit të anulimit të njoftimit,Letrat Standarde për OE,Ankesat në autoritet,Ankesat në OSHP,Vlera e parashikuar e kontratës,OE,Afati kohor për pranimin e tenderëve,Kriteret për dhënie të kontratës,Re-tenderimi,Statusi,Emri i OE të cilit i është dhënë kontrata,Data e nënshkrimit të kontratës,Afati për implementimin e kontratës,Data e mbylljes së kontratës,"Vlera totale e kontratës, duke përfshirë të gjitha taksat","Numri i përgjithshëm i situacioneve për pagesë, sipas kontratës",Vlera totale e Aneks kontratës duke përfshirë të gjitha taksat(1),Data e nënshkrimit të Aneks kontratës(1),Data e pagesës së situacionit(1),Shuma e pagesës së situacionit(1),Shuma e zbritjes nga kontrata për shkaqe të ndalesave,Data e pagesës së situacionit të fundit,Shuma e pagesës së situacionit të fundit,Çmimi total i paguar për kontratën,Drejtoria,Emri i zyrtarit të prokurimit
1,1,3,5,3,6,45,Rregullimi me zhavorr i parkingut për autobusët e trafikut urban në Matiçan,30.12.18,30.11.18,16.01.19,17.01.19,,,28.01.19,38,10,,0,15.02.19,01.03.19,,19.02.19,,,"9,000.00",1,1,1,jo,4,Dardania,01.03.19,30 Ditë,,"6,300.00",0,,,,,,,,NaN,Drejtoria e Investimeve Kapitale dhe Menaxhim të Kontratave,Valmire Mustafa
2,1,4,2,2,,93,"Mirëmbajtja dimërore e rrugëve dhe trotuareve të qytetit, debllokimi i kanalizimit atmosferik - Lot 1",18.01.19,18.01.19,17.01.19,18.01.19,,,22.01.19,1,1,,0,06.02.18,23.01.19,,22.01.19,,,"60,000.00",1,2,1,,4,Dardania,23.01.19,4 Muaj,15.05.19,"48,014.46",0,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shqipe Isufi
2,1,4,2,2,,92,"Mirëmbajtja dimërore e rrugëve dhe trotuareve të qytetit, debllokimi i kanalizimit atmosferik - Lot 2",18.01.19,18.01.19,17.01.19,18.01.19,,,22.01.19,1,1,,0,06.12.18,23.01.19,,22.01.19,,,"60,000.00",1,2,1,,4,Toifor,23.01.19,4 Muaj,15.05.19,"58,800.10",0,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shqipe Isufi
2,1,4,2,2,,93,"Mirëmbajtja dimërore e rrugëve dhe trotuareve të qytetit, debllokimi i kanalizimit atmosferik - Lot 3",18.01.19,18.01.19,17.01.19,18.01.19,,,22.01.19,1,1,,0,06.12.18,23.01.19,,22.01.19,,,"60,000.00",1,2,1,,4,VZ Company,23.01.19,4 Muaj,15.05.19,"69,201.52",0,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shqipe Isufi
2,1,4,2,2,,93,"Mirëmbajtja dimërore e rrugëve dhe trotuareve të qytetit, debllokimi i kanalizimit atmosferik - Lot 4",18.01.19,18.01.19,17.01.19,18.01.19,,,22.01.19,1,1,,0,06.12.18,23.01.19,,21.01.19,,,"60,000.00",1,2,1,,4,VE mor,23.01.19,4 Muaj,15.05.19,"42,598.32",0,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shqipe Isufi
2,1,4,2,2,,93,"Mirëmbajtja dimërore e rrugëve dhe trotuareve të qytetit, debllokimi i kanalizimit atmosferik - Lot 6",18.01.19,18.01.19,17.01.19,18.01.19,,,22.01.19,1,1,,0,06.12.18,23.01.19,,22.01.19,,,"60,000.00",1,2,1,,4,Niti-N,23.01.19,4 Muaj,15.05.19,"61,455.65",0,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shqipe Isufi
2,1,4,2,2,,93,"Mirëmbajtja dimërore e rrugëve dhe trotuareve të qytetit, debllokimi i kanalizimit atmosferik - Lot 5 ",18.01.19,18.01.19,17.01.19,24.01.19,,,25.01.19,1,1,,0,06.12.18,25.01.19,,24.01.19,,,"60,000.00",1,2,1,Po,4,Pastrimi,25.01.19,4 Muaj,15.05.19,"59,994.47",0,,,,,,,,NaN,Drejtoria e Shërbimeve Publike,Shqipe Isufi
1,1,5,5,2,1,,Punët përfundimtare për çerdhen në Tophane - Faza II,13.02.19,11.12.18,12.02.19,13.02.19,,,,0,0,,0,,,,,,," 23,604.80 ",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
1,1,6,1,1,1,,Furnizim me kifle për nxënësit e klasave I-V,14.02.19,31.01.18,13.02.19,14.02.19,,,,0,0,,0,,,,,,,"225,000.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Arsimit,Kaltrina Dalipi
1,1,7,1,3,6,,Furnizimi me dyshek për çerdhen në Kodrën e Trimave,04.02.19,06.02.19,13.02.19,15.02.19,1,,25.02.19,23,9,,0,04.03.19,12.03.19,,04.03.19,0,0,"4,000.00",1,1,1,,4,Bursam Gold,13.03.19,15 Ditë,,"2,200.00",0,,,,,,,,NaN,Drejtoria e Arsimit,Albina Bajrami
1,1,8,1,2,1,45,Furnizimi me instrumente muzikore për kabinete te muzikës,20.02.19,30.01.19,19.02.19,25.02.19,,,,0,0,,0,,,,,,,"11,000.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Arsimit,Valmire Mustafa
1,1,9,1,2,1,36,Furnizimi dhe montimi i xhamave ne shkollat dhe Institucionet tjera komunale,11.12.18,19.12.18,18.12.18,25.02.19,,,,0,0,,0,,,,,,,"50,000.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Arsimit,Nexhmi Mekolli
,,11,2,1,1,,"Pastrimi i Shkollave fillore Gjergj Fishta, Ismail Qemaili , Asim Vokshi , Dardani , Naim Frasheri, Pjeter Bogdani , Shkolla e Gjelber dhe Mehmet Xhevori",11.02.19,15.02.19,21.02.19,28.02.19,,,,0,0,,0,,,,,,,"230,000.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Arsimit,Shehide Jashari
1,1,13,1,2,1,,Furnizim me kabinete te stomatologjise dhe fizioterapise per SHML Dr. Ali Sokoli,25.02.19,28.01.19,24.02.19,01.03.19,,,,0,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Arsimit,Kaltrina Dalipi
1,1,15,1,2,1,45,Furnizimi me material higjienik për Institucionet Arsimore,,,,01.03.19,,,,0,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Arsimit,Flamur Sallahu
,,10,1,2,1,,Furnizimi me inventar,21.02.19,28.01.19,20.02.19,01.03.19,,,,0,0,,0,,,,,,,"110,000.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Arsimit,Verona Sekiraqa 
1,1,12,5,2,,45,Rrenimi i objekteve të ndërtuara pa leje - procedurë emergjente ,21.02.19,21.02.19,21.02.19,25.02.19,,,28.02.19,1,1,,0,04.03.18,04.03.19,,28.02.19,0,0,"100,000.00",1,1,1,,4,Dardania,04.03.19,180 Ditë,,"95,450.00",0,,,,,,,,NaN,Drejtoria e Inspekcionit,Nexhmi Mekolli
1,1,16,1,2,1,36,"Furnizimi me pajisje për kabinete të fizikes, kimisë dhe biologjisë për shkollat e Komunës së Prishtinës",21.01.19,28.01.19,22.02.19,01.03.19,,,,0,0,,0,,,,,,,"95,000.00",,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Arsimit,Nexhmi Mekolli
1,1,14,1,2,1,36,Furnzim me rekuizita sportive,04.01.19,28.01.19,,08.03.19,,,,0,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,NaN,Drejtoria e Arsimit,Albina Bajrami
,,21,,,,,Furnizimi me libra për Biblotekën Hivzi Sylejmani,,,,11.03.19,,,03.04.19,0,0,,0,,,,,,,"50,000.00",,,,,,,,,,,0,,,,,,,,NaN,,Shehide Jashari
