Planifikuar,Buxheti,Numri prokurimit,Lloji i prokurimit,Vlera e prokurimit,Procedura e prokutimiy,Klasifikimi(2 shifrat e para te FPP),Titulli i aktivitetit te prokurimit,Data e inicimit të aktivitetit të prokurimit (data e pranimit të kërkesës),Data e aprovimit të deklaratës së nevojave dhe disponueshmërisë së mjeteve,Data e pranimit të specifikimit teknik (TOR),Data e publikimit të njoftimit për kontratë,Ankesat në autoritet,Ankesat në OSHP,Data e hapjes së ofertave,Nr. i OE që kanë shkarkuar dosjen e tenderit,Nr. i OE që kanë dorëzuar ofertat,Data e fillimit dhe përfundimit të vlersimit,Numri i ofertave të refuzuara,Data e aprovimit të Deklaratës së nevojave dhe disponueshmërisë së mjeteve - rikonfirmimi,Data e publikimit të njoftimit për dhënie të kontratës,Data e publikimit të anulimit të njoftimit,Letrat Standarde për OE,Ankesat në autoritet,Ankesat në OSHP,Vlera e parashikuar e kontratës,OE,Afati kohor për pranimin e tenderëve,Kriteret për dhënie të kontratës,Re-tenderimi,Statusi,Emri i OE të cilit i është dhënë kontrata,Data e nënshkrimit të kontratës,Afati për implementimin e kontratës,Data e mbylljes së kontratës,"Vlera totale e kontratës, duke përfshirë të gjitha taksat","Numri i përgjithshëm i situacioneve për pagesë, sipas kontratës",Shuma e zbritjes nga kontrata për shkaqe të ndalesave,Data e pagesës së situacionit të fundit,Shuma e pagesës së situacionit të fundit,Çmimi total i paguar për kontratën,Drejtoria,Emri i zyrtarit të prokurimit
,1+2,159,5,2,1,45,Renov. ne objektin e bibliotekes H. Sylejmani dhe objektin e arkivit komunal ,,,,,,,,,,,,,,,,,,"30,000.00",n/a,,,,,Flori,02.02.15,,,"19,198.50",,,,,,,
,1+2,164,5,2,1,45,Ndertimi I rruges paralele me rrugen B,,,,,,,,,,,,,,,,,,"300,000.00",n/a,,,,,I.Seferi&El Group,23.02.15,,,"282,155.85",,,,,,,
,1+2,173,5,2,1,45,Ndertimi I rruges te parku ne lagjen Arberia,,,,,,,,,,,,,,,,,,"270,000.00",n/a,,,,,Jehona,04.03.15,,,"241,791.04",,,,,,,
,1+2,174,2,3,6,74,Projekti kryesor per dizajnimin e mobilerise urbane ,,,,,,,,,,,,,,,,,,"2,500.00",n/a,,,,,Goni Ing ,03.02.15,,,"1,985.00",,,,,,,
,1+2,178,1,2,1,2,Furn. me drunje dekorativ per rreg. dhe kultivimin e siperfaqeve gjelbruese ,,,,,,,,,,,,,,,,,,"80,000.00",n/a,,,,,Las Pallmas ,02.02.15,,,"64,750.00",,,,,,,
,1,183,1,2,1,28,"Furnizimi me pajisje sportive per klube, shkolla dhe I. Parashkollore - p.e II ",,,,,,,,,,,,,,,,,,"20,000.00",n/a,,,,,Oni Design,04.03.15,,,"14,457.68",,,,,,,
,1,183,1,2,1,28,"Furnizimi me pajisje sportive per klube, shkolla dhe I. Parashkollore - pj.e III",,,,,,,,,,,,,,,,,,"30,000.00",n/a,,,,,Sporting ,04.03.15,,,"28,349.00",,,,,,,
,1,187,2,3,6,74,Hart.dhe zbatimi I nje strategjie te informimit publik per proces te legalizimit ,,,,,,,,,,,,,,,,,,"10,000.00",n/a,,,,,PI Comuncations ,02.02.15,,,"8,150.00",,,,,,,
,1,191,2,3,6,93,"Shtypja e fletushkave, reklamave dhe bilbordave per proces te legalizimit ",,,,,,,,,,,,,,,,,,"6,000.00",n/a,,,,,VM3,19.01.15,,,"4,895.00",,,,,,,
,1+2,194,5,2,1,45,Rreg.I rrethojave dhe pastrimi fitosanitar I varrezave ne disa fsh. te Prishtines ,,,,,,,,,,,,,,,,,,"90,000.00",n/a,,,,,Ndertimtari ,23.02.15,,,"79,882.20",,,,,,,
,1+2,196,1,2,1,31,Furnizimi dhe montimi I tri pikave te sistemit te alarmit ne qytet,,,,,,,,,,,,,,,,,,"38,000.00",n/a,,,,,MF Systems ,26.01.15,,,"26,315.00",,,,,,,
,1+2,198,5,3,6,45,Rregullimi I varrezave ne kolevice dhe pastrimi fitosanitar ,,,,,,,,,,,,,,,,,,"10,000.00",n/a,,,,,Brezi Kufitar ,26.01.15,,,"7,997.00",,,,,,,
,1,199,1,2,1,20,Furn.me invertar dhe mjete tjera per qerdhen Botanika ne Matin 1 - pj. e I-re,,,,,,,,,,,,,,,,,,"24,000.00",n/a,,,,,Galanetria ,13.02.15,,,"16,820.00",,,,,,,
,1+2,200,5,2,1,45,Rikonstruimet e objekteve te çerdheve ne Besi dhe Hajveli ,,,,,,,,,,,,,,,,,,"60,000.00",n/a,,,,,Flori,03.02.15,,,"49,002.81",,,,,,,
